food,link,allergy
"Abalone, perlemoen",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5011,N/A
Acerola,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=57,N/A
Alaska Pollock,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5017,N/A
Almond,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=61,N/A
Aniseed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=62,N/A
Apple,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=2,N/A
Apricot,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=410,N/A
Avocado,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=4,N/A
Banana,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5,N/A
Barley,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=63,N/A
Bell pepper,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=58,N/A
Brazil nut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=7,N/A
Buckwheat,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=12,N/A
Cabbage,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=13,N/A
Camomile,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=59,N/A
Carp,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5018,N/A
Carrot,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=14,N/A
Cashew,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=15,N/A
Castor bean,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=16,N/A
"Celery, Celeriac",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=18,N/A
Cherry,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=19,N/A
Chestnut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=20,N/A
"Chickpea, garbanzo, bengal gram",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=21,N/A
Cocoa,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=22,N/A
Coconut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=23,N/A
Cod,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5005,N/A
Cotton seed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=24,N/A
"Courgette, zucchini",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=25,N/A
Crab,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5007,N/A
Date,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=60,N/A
Egg (hen's egg),http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5001,N/A
Fig,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=64,N/A
Fish,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5020,N/A
"Flax seed, linseed",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=26,N/A
"Frog, edible",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5004,N/A
Garden plum,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=27,N/A
Garlic,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=71,N/A
Grape,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=28,N/A
Hazelnut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=29,N/A
Kiwi fruit; chinese gooseberry,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=30,N/A
Lentil,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=31,N/A
Lettuce,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=65,N/A
Lobster,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5008,N/A
Lupin or Lupine,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=32,N/A
Lychee,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=66,N/A
Mackerel,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5021,N/A
"Maize, corn",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=33,N/A
Mango,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=34,N/A
Melon,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=67,N/A
"Milk, cow",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5000,N/A
Mustard,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=56,N/A
Oat,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=35,N/A
Oyster,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5012,N/A
Peach,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=37,N/A
Peanut; ground nuts; monkey nuts,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=38,N/A
Pear,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=39,N/A
Pecan,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=40,N/A
Persimmon,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=68,N/A
Pine nuts,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=41,N/A
Pineapple,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=42,N/A
Pomegranate,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=43,N/A
Poppy seed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=44,N/A
Potato,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=45,N/A
Pumpkin,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=46,N/A
Rice,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=47,N/A
Rye,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=48,N/A
Salmon,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5022,N/A
Sesame,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=49,N/A
"Shrimp, black tiger shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5028,N/A
"Shrimp, brown shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5027,N/A
"Shrimp, greasyback shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5006,N/A
"Shrimp, Indian prawn",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5029,N/A
"Shrimp, Neptune rose shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5032,N/A
"Shrimp, white shrimp",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5031,N/A
Snail,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5010,N/A
"Soybean, Soya",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=50,N/A
Squid,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5009,N/A
Strawberry,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=75,N/A
Sunflower seed,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=51,N/A
Tomato,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=52,N/A
Tuna,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=5024,N/A
Turnip,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=69,N/A
Walnut,http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=53,N/A
"Wheat (breadmaking wheat, pasta wheat, Kamut, spelt)",http://research.bmh.manchester.ac.uk/informall/allergenic-food/?FoodId=9,N/A
